text,sentiment,ctype
It would be nice if you included audio,neutral,suggestion
You should add deployment in the video,neutral,suggestion
Try adding GitHub for better understanding,neutral,suggestion
Do one about Windows setup 🙏,positive,request
Please improve the audio quality,neutral,suggestion
Please upload a detailed guide on Node.js,positive,request
"Bro, do a tutorial about Java basics",positive,request
Can you please make a video on coding practice?,positive,request
"Bro, do a tutorial about audio",positive,request
"Really Python installation video, well done!",positive,other
Next video on iOS please!,neutral,request
Can I use this on Docker?,neutral,other
Anyone tried algorithms yet?,neutral,other
"Bro, do a tutorial about AI tutorial",positive,request
Subtitles or Windows setup would help a lot,neutral,suggestion
It would be nice if you included debugging,neutral,suggestion
"Bro, do a tutorial about debugging",positive,request
Please upload a detailed guide on Node.js,positive,request
Can you please make a video on ML model?,positive,request
You should add debugging in the video,neutral,suggestion
Do one about debugging 🙏,positive,request
Please improve the ML model quality,neutral,suggestion
Could you explain Node.js step by step?,positive,request
Do one about Linux 🙏,neutral,request
Try adding iOS for better understanding,neutral,suggestion
"Bro, do a tutorial about Docker",neutral,request
Please upload a detailed guide on Android,neutral,request
Next video on debugging please!,positive,request
Please improve the VS Code quality,neutral,suggestion
What about DSA version?,neutral,other
Can you please make a video on deployment?,positive,request
Please improve the ML model quality,neutral,suggestion
Could you explain audio step by step?,positive,request
Can I use this on Java basics?,neutral,other
"Such a useful explanation, thanks!",positive,other
"Honestly, I poor this video",negative,other
Please upload a detailed guide on Python installation,positive,request
Next video on DSA please!,positive,request
Next video on timestamps please!,neutral,request
It would be nice if you included algorithms,neutral,suggestion
"Bro, do a tutorial about DSA",positive,request
Please upload a detailed guide on GitHub,neutral,request
Better debugging would make it perfect,neutral,suggestion
This video is so useful!,positive,other
Sorry but this boring my time,negative,other
Please improve the ML model quality,neutral,suggestion
Could you explain ML model step by step?,positive,request
Anyone tried Node.js yet?,neutral,other
Subtitles or algorithms would help a lot,neutral,suggestion
Please improve the DSA quality,neutral,suggestion
Can you please make a video on Windows setup?,neutral,request
Could you explain Python installation step by step?,positive,request
Can you please make a video on Windows setup?,positive,request
It would be nice if you included Node.js,neutral,suggestion
Subtitles or ML model would help a lot,neutral,suggestion
Could you explain iOS step by step?,positive,request
Try adding algorithms for better understanding,neutral,suggestion
"Bro, do a tutorial about iOS",neutral,request
I did GitHub but not sure if it's right,neutral,other
Subtitles or audio would help a lot,neutral,suggestion
Not really dislike for me,negative,other
This is so useless,negative,other
Could you explain Java basics step by step?,positive,request
"Bro, do a tutorial about debugging",neutral,request
Please upload a detailed guide on algorithms,positive,request
"Really fantastic video, well done!",positive,other
It would be nice if you included Java basics,neutral,suggestion
This helped me fantastic so much,positive,other
Do one about AI tutorial 🙏,neutral,request
Anyone tried audio yet?,neutral,other
"Honestly, I boring this video",negative,other
Anyone tried AI tutorial yet?,neutral,other
Would love if you cover Android in your next video,positive,request
This was kinda dislike,negative,other
Better Linux would make it perfect,neutral,suggestion
How do I Java basics?,neutral,other
I did timestamps but not sure if it's right,neutral,other
Please improve the VS Code quality,neutral,suggestion
Can you please make a video on Windows setup?,positive,request
Too dislike and confusing,negative,other
Try adding coding practice for better understanding,neutral,suggestion
Try adding algorithms for better understanding,neutral,suggestion
"Honestly, I dislike this video",negative,other
This video is so fantastic!,positive,other
Would love if you cover Java basics in your next video,neutral,request
Please improve the AI tutorial quality,neutral,suggestion
Subtitles or GitHub would help a lot,neutral,suggestion
Subtitles or audio would help a lot,neutral,suggestion
What about VS Code version?,neutral,other
Could you explain timestamps step by step?,positive,request
Could you explain Docker step by step?,neutral,request
"Bro, do a tutorial about ML model",positive,request
Can you please make a video on Linux?,positive,request
Would love if you cover deployment in your next video,positive,request
You should add React project in the video,neutral,suggestion
"Man, I deployment this content ❤️",positive,other
Could you explain Python installation step by step?,positive,request
Please upload a detailed guide on DSA,positive,request
Sorry but this bad my time,negative,other
"Honestly, I dislike this video",negative,other
Please improve the React project quality,neutral,suggestion
Subtitles or GitHub would help a lot,neutral,suggestion
Subtitles or Docker would help a lot,neutral,suggestion
Can you please make a video on iOS?,neutral,request
"Such a great explanation, thanks!",positive,other
Subtitles or deployment would help a lot,neutral,suggestion
This is so bad,negative,other
Didn't ML model anything useful,negative,other
Please upload a detailed guide on Java basics,neutral,request
Next video on deployment please!,positive,request
Could you explain React project step by step?,positive,request
This helped me great so much,positive,other
Could you explain AI tutorial step by step?,positive,request
"Bro, do a tutorial about VS Code",neutral,request
Try adding algorithms for better understanding,neutral,suggestion
What about Windows setup version?,neutral,other
Next video on Android please!,neutral,request
Anyone tried coding practice yet?,neutral,other
Please improve the algorithms quality,neutral,suggestion
You should add Android in the video,neutral,suggestion
Try adding AI tutorial for better understanding,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
"Bro, do a tutorial about ML model",positive,request
You should add Android in the video,neutral,suggestion
Do one about audio 🙏,positive,request
Consider making Linux clearer,neutral,suggestion
Could you explain debugging step by step?,positive,request
"Amazing work, keep it up 👏",positive,other
Can you please make a video on React project?,neutral,request
Do one about Python installation 🙏,positive,request
This video is so awesome!,positive,other
Could you explain VS Code step by step?,positive,request
Better Docker would make it perfect,neutral,suggestion
Can you please make a video on Windows setup?,positive,request
"Amazing work, keep it up 👏",positive,other
Do one about GitHub 🙏,positive,request
Better Python installation would make it perfect,neutral,suggestion
Do one about iOS 🙏,positive,request
"Bro, do a tutorial about GitHub",positive,request
Do one about Docker 🙏,positive,request
I did iOS but not sure if it's right,neutral,other
Too dislike and confusing,negative,other
This helped me fantastic so much,positive,other
Can I use this on debugging?,neutral,other
"Amazing work, keep it up 👏",positive,other
This video is so iOS!,positive,other
Better algorithms would make it perfect,neutral,suggestion
Can you please make a video on deployment?,positive,request
Try adding Android for better understanding,neutral,suggestion
Does this work for debugging?,neutral,other
"Honestly, I poor this video",negative,other
Try adding Java basics for better understanding,neutral,suggestion
Would love if you cover Java basics in your next video,positive,request
You should add Linux in the video,neutral,suggestion
Would love if you cover audio in your next video,neutral,request
Next video on Node.js please!,positive,request
Can you please make a video on Linux?,positive,request
Please improve the timestamps quality,neutral,suggestion
Not really dislike for me,negative,other
It would be nice if you included deployment,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Try adding Linux for better understanding,neutral,suggestion
Is it possible to ML model?,neutral,other
This was kinda dislike,negative,other
Subtitles or Node.js would help a lot,neutral,suggestion
"Bro, do a tutorial about Python installation",positive,request
Can I use this on DSA?,neutral,other
Subtitles or GitHub would help a lot,neutral,suggestion
What about Docker version?,neutral,other
How do I deployment?,neutral,other
Next video on Java basics please!,positive,request
It would be nice if you included GitHub,neutral,suggestion
Please upload a detailed guide on timestamps,positive,request
"Bro, do a tutorial about DSA",positive,request
"Really great video, well done!",positive,other
Consider making Linux clearer,neutral,suggestion
Do one about audio 🙏,positive,request
You should add debugging in the video,neutral,suggestion
Would love if you cover coding practice in your next video,neutral,request
"Really fantastic video, well done!",positive,other
This helped me coding practice so much,positive,other
Can you please make a video on Python installation?,positive,request
Try adding AI tutorial for better understanding,neutral,suggestion
"Really audio video, well done!",positive,other
Please upload a detailed guide on Node.js,positive,request
Anyone tried Windows setup yet?,neutral,other
Too poor and confusing,negative,other
It would be nice if you included Linux,neutral,suggestion
You should add algorithms in the video,neutral,suggestion
Is it possible to Windows setup?,neutral,other
Try adding iOS for better understanding,neutral,suggestion
"Bro, do a tutorial about Java basics",neutral,request
Could you explain AI tutorial step by step?,positive,request
Do one about coding practice 🙏,neutral,request
Didn't AI tutorial anything useful,negative,other
Not really Python installation for me,negative,other
Sorry but this useless my time,negative,other
Please improve the ML model quality,neutral,suggestion
Could you explain iOS step by step?,positive,request
Does this work for timestamps?,neutral,other
You should add Node.js in the video,neutral,suggestion
Didn't bad anything useful,negative,other
"Such a awesome explanation, thanks!",positive,other
Do one about Java basics 🙏,neutral,request
Does this work for Windows setup?,neutral,other
Consider making audio clearer,neutral,suggestion
Sorry but this bad my time,negative,other
Do one about deployment 🙏,positive,request
Consider making VS Code clearer,neutral,suggestion
It would be nice if you included coding practice,neutral,suggestion
Do one about Windows setup 🙏,neutral,request
Please upload a detailed guide on Docker,positive,request
"Amazing work, keep it up 👏",positive,other
Not really useless for me,negative,other
This was kinda useless,negative,other
Can you please make a video on React project?,positive,request
Please upload a detailed guide on Node.js,positive,request
"Man, I useful this content ❤️",positive,other
Anyone tried React project yet?,neutral,other
Sorry but this Docker my time,negative,other
Not really boring for me,negative,other
Do one about Windows setup 🙏,neutral,request
Next video on Android please!,positive,request
What about GitHub version?,neutral,other
Best tutorial on Node.js I've seen,positive,other
Try adding VS Code for better understanding,neutral,suggestion
Sorry but this poor my time,negative,other
Could you explain VS Code step by step?,positive,request
Better audio would make it perfect,neutral,suggestion
Would love if you cover audio in your next video,positive,request
Better audio would make it perfect,neutral,suggestion
Can you please make a video on iOS?,positive,request
Better React project would make it perfect,neutral,suggestion
Would love if you cover React project in your next video,positive,request
Please upload a detailed guide on iOS,neutral,request
Try adding VS Code for better understanding,neutral,suggestion
Please upload a detailed guide on iOS,positive,request
"Amazing work, keep it up 👏",positive,other
Can you please make a video on AI tutorial?,neutral,request
Is it possible to Java basics?,neutral,other
It would be nice if you included AI tutorial,neutral,suggestion
Consider making Android clearer,neutral,suggestion
Next video on AI tutorial please!,positive,request
Please improve the algorithms quality,neutral,suggestion
Please improve the ML model quality,neutral,suggestion
You should add React project in the video,neutral,suggestion
This is so bad,negative,other
Would love if you cover Node.js in your next video,positive,request
Could you explain Python installation step by step?,positive,request
It would be nice if you included Docker,neutral,suggestion
You should add DSA in the video,neutral,suggestion
Consider making Java basics clearer,neutral,suggestion
I did Android but not sure if it's right,neutral,other
How do I Node.js?,neutral,other
You should add VS Code in the video,neutral,suggestion
You should add Windows setup in the video,neutral,suggestion
Can you please make a video on DSA?,positive,request
Try adding VS Code for better understanding,neutral,suggestion
Can you please make a video on debugging?,positive,request
Can I use this on GitHub?,neutral,other
"Man, I iOS this content ❤️",positive,other
Is it possible to coding practice?,neutral,other
Anyone tried debugging yet?,neutral,other
What about Node.js version?,neutral,other
Consider making Python installation clearer,neutral,suggestion
Could you explain Python installation step by step?,neutral,request
You should add Java basics in the video,neutral,suggestion
Please improve the timestamps quality,neutral,suggestion
Better Java basics would make it perfect,neutral,suggestion
Next video on coding practice please!,positive,request
Subtitles or audio would help a lot,neutral,suggestion
Subtitles or React project would help a lot,neutral,suggestion
This was kinda bad,negative,other
Can you please make a video on DSA?,positive,request
Next video on Node.js please!,positive,request
"Really helpful video, well done!",positive,other
Next video on DSA please!,positive,request
Could you explain debugging step by step?,positive,request
Anyone tried coding practice yet?,neutral,other
Subtitles or timestamps would help a lot,neutral,suggestion
I did debugging but not sure if it's right,neutral,other
Do one about Java basics 🙏,neutral,request
This helped me helpful so much,positive,other
Better Python installation would make it perfect,neutral,suggestion
Do one about audio 🙏,neutral,request
You should add deployment in the video,neutral,suggestion
It would be nice if you included Python installation,neutral,suggestion
Try adding iOS for better understanding,neutral,suggestion
Not really poor for me,negative,other
"Bro, do a tutorial about React project",positive,request
Didn't useless anything useful,negative,other
Subtitles or ML model would help a lot,neutral,suggestion
"Bro, do a tutorial about iOS",positive,request
Next video on deployment please!,positive,request
Does this work for Android?,neutral,other
You should add ML model in the video,neutral,suggestion
You should add Windows setup in the video,neutral,suggestion
Would love if you cover Java basics in your next video,neutral,request
Subtitles or React project would help a lot,neutral,suggestion
Would love if you cover deployment in your next video,neutral,request
Try adding Windows setup for better understanding,neutral,suggestion
You should add deployment in the video,neutral,suggestion
Subtitles or deployment would help a lot,neutral,suggestion
Next video on DSA please!,positive,request
Can I use this on Java basics?,neutral,other
I did audio but not sure if it's right,neutral,other
I did DSA but not sure if it's right,neutral,other
Next video on React project please!,positive,request
Do one about iOS 🙏,positive,request
Sorry but this dislike my time,negative,other
Can I use this on coding practice?,neutral,other
Best tutorial on great I've seen,positive,other
Subtitles or debugging would help a lot,neutral,suggestion
Sorry but this boring my time,negative,other
How do I algorithms?,neutral,other
This helped me timestamps so much,positive,other
Please improve the AI tutorial quality,neutral,suggestion
Does this work for DSA?,neutral,other
Anyone tried AI tutorial yet?,neutral,other
Do one about iOS 🙏,positive,request
Try adding Linux for better understanding,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
This was kinda boring,negative,other
Subtitles or GitHub would help a lot,neutral,suggestion
Consider making Linux clearer,neutral,suggestion
"Really GitHub video, well done!",positive,other
Try adding iOS for better understanding,neutral,suggestion
"Really iOS video, well done!",positive,other
What about ML model version?,neutral,other
Would love if you cover audio in your next video,neutral,request
Please improve the ML model quality,neutral,suggestion
You should add Java basics in the video,neutral,suggestion
How do I coding practice?,neutral,other
Please upload a detailed guide on Python installation,positive,request
Do one about coding practice 🙏,positive,request
Subtitles or VS Code would help a lot,neutral,suggestion
It would be nice if you included GitHub,neutral,suggestion
Could you explain algorithms step by step?,positive,request
It would be nice if you included algorithms,neutral,suggestion
Would love if you cover debugging in your next video,neutral,request
"Man, I useful this content ❤️",positive,other
Consider making Node.js clearer,neutral,suggestion
You should add audio in the video,neutral,suggestion
Not really boring for me,negative,other
Try adding deployment for better understanding,neutral,suggestion
This video is so fantastic!,positive,other
Could you explain VS Code step by step?,neutral,request
What about Node.js version?,neutral,other
Please upload a detailed guide on Python installation,positive,request
Try adding Linux for better understanding,neutral,suggestion
Please improve the deployment quality,neutral,suggestion
Try adding audio for better understanding,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
This video is so fantastic!,positive,other
"Amazing work, keep it up 👏",positive,other
Better Android would make it perfect,neutral,suggestion
Try adding algorithms for better understanding,neutral,suggestion
It would be nice if you included DSA,neutral,suggestion
Better debugging would make it perfect,neutral,suggestion
Could you explain VS Code step by step?,positive,request
Subtitles or AI tutorial would help a lot,neutral,suggestion
Would love if you cover Node.js in your next video,positive,request
Could you explain Docker step by step?,neutral,request
Could you explain GitHub step by step?,positive,request
Anyone tried Java basics yet?,neutral,other
Could you explain debugging step by step?,positive,request
Better debugging would make it perfect,neutral,suggestion
Try adding Node.js for better understanding,neutral,suggestion
Please upload a detailed guide on debugging,positive,request
Do one about audio 🙏,positive,request
Could you explain VS Code step by step?,positive,request
Try adding deployment for better understanding,neutral,suggestion
Please improve the GitHub quality,neutral,suggestion
"Honestly, I AI tutorial this video",negative,other
This video is so useful!,positive,other
It would be nice if you included AI tutorial,neutral,suggestion
"Bro, do a tutorial about audio",neutral,request
Consider making ML model clearer,neutral,suggestion
It would be nice if you included Python installation,neutral,suggestion
Better React project would make it perfect,neutral,suggestion
Can you please make a video on Windows setup?,positive,request
Please upload a detailed guide on Android,positive,request
Could you explain audio step by step?,positive,request
You should add ML model in the video,neutral,suggestion
How do I Java basics?,neutral,other
Best tutorial on coding practice I've seen,positive,other
Too DSA and confusing,negative,other
You should add GitHub in the video,neutral,suggestion
Please upload a detailed guide on React project,positive,request
Consider making Linux clearer,neutral,suggestion
Subtitles or Python installation would help a lot,neutral,suggestion
This was kinda Android,negative,other
"Really great video, well done!",positive,other
Didn't poor anything useful,negative,other
What about ML model version?,neutral,other
Subtitles or VS Code would help a lot,neutral,suggestion
Is it possible to React project?,neutral,other
Could you explain Windows setup step by step?,positive,request
Please improve the Java basics quality,neutral,suggestion
Do one about debugging 🙏,neutral,request
Could you explain Python installation step by step?,positive,request
What about DSA version?,neutral,other
Is it possible to Node.js?,neutral,other
Please improve the coding practice quality,neutral,suggestion
Subtitles or Linux would help a lot,neutral,suggestion
"Bro, do a tutorial about VS Code",neutral,request
It would be nice if you included audio,neutral,suggestion
Try adding DSA for better understanding,neutral,suggestion
Can you please make a video on Node.js?,positive,request
Best tutorial on useful I've seen,positive,other
Consider making GitHub clearer,neutral,suggestion
Subtitles or timestamps would help a lot,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Too dislike and confusing,negative,other
Can you please make a video on Java basics?,neutral,request
Better Android would make it perfect,neutral,suggestion
Consider making Docker clearer,neutral,suggestion
You should add DSA in the video,neutral,suggestion
This video is so awesome!,positive,other
Could you explain timestamps step by step?,positive,request
Please improve the Windows setup quality,neutral,suggestion
Can you please make a video on GitHub?,neutral,request
This was kinda dislike,negative,other
You should add React project in the video,neutral,suggestion
Does this work for Node.js?,neutral,other
Is it possible to coding practice?,neutral,other
Didn't poor anything useful,negative,other
Best tutorial on useful I've seen,positive,other
Sorry but this poor my time,negative,other
Is it possible to AI tutorial?,neutral,other
Sorry but this dislike my time,negative,other
Not really dislike for me,negative,other
It would be nice if you included DSA,neutral,suggestion
You should add ML model in the video,neutral,suggestion
Please improve the React project quality,neutral,suggestion
Do one about audio 🙏,positive,request
It would be nice if you included ML model,neutral,suggestion
"Bro, do a tutorial about debugging",neutral,request
Too useless and confusing,negative,other
Better Docker would make it perfect,neutral,suggestion
It would be nice if you included Node.js,neutral,suggestion
Would love if you cover Python installation in your next video,positive,request
Please upload a detailed guide on Docker,positive,request
"Bro, do a tutorial about Node.js",neutral,request
Please improve the coding practice quality,neutral,suggestion
This video is so useful!,positive,other
"Bro, do a tutorial about coding practice",neutral,request
Please upload a detailed guide on AI tutorial,positive,request
Please improve the Node.js quality,neutral,suggestion
"Bro, do a tutorial about Windows setup",neutral,request
Anyone tried DSA yet?,neutral,other
Would love if you cover Windows setup in your next video,positive,request
"Bro, do a tutorial about Docker",positive,request
"Really fantastic video, well done!",positive,other
Would love if you cover VS Code in your next video,positive,request
Subtitles or Node.js would help a lot,neutral,suggestion
Sorry but this boring my time,negative,other
This is so boring,negative,other
Please upload a detailed guide on AI tutorial,positive,request
Would love if you cover deployment in your next video,positive,request
It would be nice if you included Docker,neutral,suggestion
It would be nice if you included coding practice,neutral,suggestion
Would love if you cover timestamps in your next video,neutral,request
You should add Java basics in the video,neutral,suggestion
"Honestly, I bad this video",negative,other
Consider making Linux clearer,neutral,suggestion
Please improve the Java basics quality,neutral,suggestion
It would be nice if you included Docker,neutral,suggestion
Please upload a detailed guide on coding practice,positive,request
You should add deployment in the video,neutral,suggestion
Try adding coding practice for better understanding,neutral,suggestion
Would love if you cover GitHub in your next video,neutral,request
Please upload a detailed guide on AI tutorial,positive,request
Would love if you cover audio in your next video,positive,request
Do one about audio 🙏,positive,request
"Really helpful video, well done!",positive,other
Not really boring for me,negative,other
"Bro, do a tutorial about Python installation",positive,request
Consider making AI tutorial clearer,neutral,suggestion
This is so boring,negative,other
What about Python installation version?,neutral,other
Try adding ML model for better understanding,neutral,suggestion
Try adding Linux for better understanding,neutral,suggestion
Can you please make a video on DSA?,neutral,request
Can you please make a video on Node.js?,neutral,request
This helped me great so much,positive,other
Next video on Java basics please!,positive,request
It would be nice if you included Node.js,neutral,suggestion
Subtitles or GitHub would help a lot,neutral,suggestion
Does this work for Python installation?,neutral,other
"Bro, do a tutorial about audio",positive,request
Can you please make a video on Python installation?,neutral,request
Anyone tried VS Code yet?,neutral,other
Could you explain debugging step by step?,positive,request
Can you please make a video on Docker?,neutral,request
Next video on Windows setup please!,positive,request
Best tutorial on Node.js I've seen,positive,other
Please upload a detailed guide on DSA,neutral,request
Subtitles or iOS would help a lot,neutral,suggestion
"Bro, do a tutorial about Python installation",positive,request
It would be nice if you included Docker,neutral,suggestion
Would love if you cover GitHub in your next video,neutral,request
Try adding Windows setup for better understanding,neutral,suggestion
Please improve the iOS quality,neutral,suggestion
Consider making audio clearer,neutral,suggestion
Would love if you cover AI tutorial in your next video,neutral,request
Please upload a detailed guide on React project,positive,request
It would be nice if you included iOS,neutral,suggestion
Subtitles or Linux would help a lot,neutral,suggestion
Would love if you cover VS Code in your next video,positive,request
Can you please make a video on AI tutorial?,positive,request
It would be nice if you included Docker,neutral,suggestion
Try adding Android for better understanding,neutral,suggestion
It would be nice if you included DSA,neutral,suggestion
Subtitles or AI tutorial would help a lot,neutral,suggestion
"Honestly, I useless this video",negative,other
"Bro, do a tutorial about audio",positive,request
Subtitles or GitHub would help a lot,neutral,suggestion
Do one about ML model 🙏,positive,request
Please upload a detailed guide on Linux,positive,request
"Bro, do a tutorial about VS Code",positive,request
I did AI tutorial but not sure if it's right,neutral,other
Better coding practice would make it perfect,neutral,suggestion
Please improve the Java basics quality,neutral,suggestion
"Bro, do a tutorial about React project",positive,request
Please improve the algorithms quality,neutral,suggestion
Consider making Android clearer,neutral,suggestion
Do one about Android 🙏,neutral,request
"Bro, do a tutorial about Python installation",neutral,request
Consider making algorithms clearer,neutral,suggestion
Is it possible to AI tutorial?,neutral,other
Better deployment would make it perfect,neutral,suggestion
How do I algorithms?,neutral,other
This was kinda bad,negative,other
Please improve the Java basics quality,neutral,suggestion
What about timestamps version?,neutral,other
Didn't dislike anything useful,negative,other
"Honestly, I poor this video",negative,other
It would be nice if you included Python installation,neutral,suggestion
Please upload a detailed guide on Android,neutral,request
Anyone tried algorithms yet?,neutral,other
It would be nice if you included coding practice,neutral,suggestion
Would love if you cover AI tutorial in your next video,neutral,request
It would be nice if you included timestamps,neutral,suggestion
You should add audio in the video,neutral,suggestion
Too boring and confusing,negative,other
What about debugging version?,neutral,other
Didn't boring anything useful,negative,other
Didn't poor anything useful,negative,other
Better iOS would make it perfect,neutral,suggestion
Is it possible to algorithms?,neutral,other
Better VS Code would make it perfect,neutral,suggestion
Better Linux would make it perfect,neutral,suggestion
Could you explain React project step by step?,neutral,request
Subtitles or audio would help a lot,neutral,suggestion
Anyone tried deployment yet?,neutral,other
Can you please make a video on Python installation?,positive,request
Next video on audio please!,positive,request
Could you explain deployment step by step?,positive,request
Not really useless for me,negative,other
This is so boring,negative,other
I did iOS but not sure if it's right,neutral,other
Can you please make a video on timestamps?,positive,request
Could you explain DSA step by step?,positive,request
Not really coding practice for me,negative,other
Didn't iOS anything useful,negative,other
Can you please make a video on Node.js?,positive,request
"Honestly, I useless this video",negative,other
Sorry but this Node.js my time,negative,other
Please upload a detailed guide on Python installation,positive,request
Anyone tried algorithms yet?,neutral,other
I did audio but not sure if it's right,neutral,other
Consider making algorithms clearer,neutral,suggestion
Consider making timestamps clearer,neutral,suggestion
Next video on VS Code please!,positive,request
You should add timestamps in the video,neutral,suggestion
Anyone tried Python installation yet?,neutral,other
Not really useless for me,negative,other
You should add Windows setup in the video,neutral,suggestion
Please improve the Windows setup quality,neutral,suggestion
This is so useless,negative,other
Please improve the algorithms quality,neutral,suggestion
Can I use this on DSA?,neutral,other
Can you please make a video on DSA?,neutral,request
Try adding Linux for better understanding,neutral,suggestion
Try adding Android for better understanding,neutral,suggestion
What about coding practice version?,neutral,other
This helped me coding practice so much,positive,other
"Bro, do a tutorial about GitHub",positive,request
Could you explain VS Code step by step?,positive,request
Sorry but this Python installation my time,negative,other
Best tutorial on great I've seen,positive,other
Try adding deployment for better understanding,neutral,suggestion
"Man, I awesome this content ❤️",positive,other
You should add React project in the video,neutral,suggestion
Didn't useless anything useful,negative,other
This was kinda useless,negative,other
This was kinda bad,negative,other
Please upload a detailed guide on Linux,positive,request
This is so useless,negative,other
Try adding deployment for better understanding,neutral,suggestion
It would be nice if you included Windows setup,neutral,suggestion
Please improve the GitHub quality,neutral,suggestion
Would love if you cover React project in your next video,neutral,request
"Bro, do a tutorial about GitHub",positive,request
Try adding debugging for better understanding,neutral,suggestion
Try adding VS Code for better understanding,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
How do I deployment?,neutral,other
Subtitles or AI tutorial would help a lot,neutral,suggestion
Best tutorial on useful I've seen,positive,other
Do one about audio 🙏,positive,request
Please improve the DSA quality,neutral,suggestion
"Man, I fantastic this content ❤️",positive,other
How do I timestamps?,neutral,other
Can you please make a video on iOS?,positive,request
Sorry but this dislike my time,negative,other
Next video on Docker please!,neutral,request
Better AI tutorial would make it perfect,neutral,suggestion
This video is so awesome!,positive,other
Do one about Node.js 🙏,neutral,request
Please improve the deployment quality,neutral,suggestion
Do one about Linux 🙏,positive,request
Sorry but this DSA my time,negative,other
You should add Docker in the video,neutral,suggestion
You should add AI tutorial in the video,neutral,suggestion
Could you explain deployment step by step?,positive,request
Next video on AI tutorial please!,neutral,request
This video is so GitHub!,positive,other
Subtitles or deployment would help a lot,neutral,suggestion
Consider making iOS clearer,neutral,suggestion
Do one about AI tutorial 🙏,positive,request
"Amazing work, keep it up 👏",positive,other
Better GitHub would make it perfect,neutral,suggestion
Try adding iOS for better understanding,neutral,suggestion
Next video on GitHub please!,positive,request
Would love if you cover debugging in your next video,positive,request
What about audio version?,neutral,other
Please improve the React project quality,neutral,suggestion
Best tutorial on fantastic I've seen,positive,other
Would love if you cover React project in your next video,positive,request
Not really dislike for me,negative,other
Try adding Node.js for better understanding,neutral,suggestion
Please improve the Docker quality,neutral,suggestion
Would love if you cover React project in your next video,positive,request
Please improve the timestamps quality,neutral,suggestion
"Bro, do a tutorial about Node.js",neutral,request
"Man, I great this content ❤️",positive,other
Please upload a detailed guide on Java basics,positive,request
Is it possible to Node.js?,neutral,other
Can you please make a video on Java basics?,neutral,request
Please improve the Java basics quality,neutral,suggestion
This is so useless,negative,other
Is it possible to Android?,neutral,other
Does this work for Linux?,neutral,other
Could you explain React project step by step?,positive,request
Does this work for algorithms?,neutral,other
Best tutorial on great I've seen,positive,other
"Man, I useful this content ❤️",positive,other
Would love if you cover timestamps in your next video,positive,request
Better deployment would make it perfect,neutral,suggestion
Does this work for Docker?,neutral,other
Please upload a detailed guide on Docker,positive,request
Do one about Linux 🙏,neutral,request
Could you explain coding practice step by step?,positive,request
Next video on React project please!,positive,request
Consider making algorithms clearer,neutral,suggestion
"Really helpful video, well done!",positive,other
"Honestly, I React project this video",negative,other
Please improve the AI tutorial quality,neutral,suggestion
This is so poor,negative,other
Try adding Windows setup for better understanding,neutral,suggestion
It would be nice if you included audio,neutral,suggestion
It would be nice if you included ML model,neutral,suggestion
"Bro, do a tutorial about VS Code",positive,request
Next video on Docker please!,neutral,request
